GasDay,KWhFromBiogas,KWhToDenmark,KWhFromNorthSea,KWhToOrFromStorage,KWhToOrFromGermany,KWhToSweden
2020-08-14,11865191,-38419762,2640000,-28442585,68716584,-19019961
2020-08-13,11754936,-39714885,2640000,-29221503,74541584,-19847520
2020-08-12,11858591,-39365511,2640000,-25988018,73117560,-20696467
2020-08-11,11678616,-39320163,2640000,-34929824,82569584,-20702086
2020-08-10,11926414,-40574987,2640000,-28405100,74849354,-19648831
2020-08-09,12299082,-28307247,2640000,-39620642,71917584,-18483336
2020-08-08,11746026,-26926526,2640000,-38483770,70296584,-17482844
2020-08-07,12147846,-34824957,2640000,-26953747,67445584,-17309123
2020-08-06,12313516,-43589064,2640000,-34578327,83677584,-18503533
2020-08-05,11830148,-43797755,2640000,-27000018,84557584,-19189200
2020-08-04,11388982,-43854347,2640000,-38588413,81925584,-18657748
2020-08-03,11631089,-44808692,2640000,-38974581,86797584,-17968564
2020-08-02,11913015,-30923743,2640000,-53051379,72081212,-17039630
2020-08-01,11970598,-28130432,2640000,-40234972,85657584,-16366920
2020-07-31,11776439,-41426888,2640000,-30214255,81135120,-17089827
2020-07-30,11862564,-45594950,2640000,-32526746,79075120,-18253078
2020-07-29,11626607,-41403883,2640000,-41574027,81135114,-17890140
2020-07-28,11348377,-37412498,2640000,-39199274,81132720,-17531067
2020-07-27,11317918,-39612854,2640000,-39403465,81135120,-16947184
2020-07-26,10485008,-28826537,2640000,-47624472,81371937,-17137279
2020-07-25,11976543,-48042171,2640000,-47258626,81135120,-16944238
2020-07-24,11958161,-36574989,2640000,-33536625,73858632,-16968369
2020-07-23,11987460,-40733322,2640000,-40246993,81706632,-16859636
2020-07-22,11792247,-39942319,2640000,-39635696,77872632,-17300350
2020-07-21,11651206,-38327584,2640000,-49490832,86962632,-17418780
2020-07-20,11384167,-37062942,2640000,-40545239,81706632,-16889957
2020-07-19,11609051,-27939049,2640000,-47704935,81706632,-18082001
2020-07-18,11599932,-27581206,2640000,-46848049,81706632,-17285490
2020-07-17,11880250,-36674789,3480000,-40086879,81706638,-16934120
2020-07-16,11731162,-38575803,3600000,-43161871,80445632,-19132431
